,Name,School Address
0,ABC Unified,"16700 Norwalk Blvd, Cerritos, CA 90703"
2,Alhambra Unified,"1515 W Mission Rd, Alhambra, CA 91803"
4,Arcadia Unified,"150 S 3rd Ave., Arcadia, CA 91006"
5,Azusa Unified,"546 South Citrus Ave. Azusa, CA 91702-0500 "
6,Baldwin Park Unified,"3699 Holly Ave, Baldwin Park, CA 91706"
8,Bellflower Unified,"16703 S. Clark Ave., Bellflower, CA 90706
"
9,Beverly Hills Unified,"255 S Lasky Dr, Beverly Hills, CA 90212"
10,Bonita Unified,"115 W. Allen Ave., San Dimas, CA 91773"
11,Burbank Unified,"1900 West Olive Avenue, Burbank, CA 91506"
14,Charter Oak Unified,"20240 E Cienega Ave Covina, Ca 91724"
15,Claremont Unified,"170 W. San Jose Ave.
Claremont, California 91711"
16,Compton Unified,"417 W Alondra Blvd, Compton CA 90220"
18,Culver City Unified,"4034 Irving Place 
Culver City, CA 90232"
19,Downey Unified," 11627 Brookshire Ave. Downey, CA 90241-7017"
20,Duarte Unified,"1620 E Huntington Dr, Duarte, CA 91010"
23,El Monte City,"3540 North Lexington Ave. El Monte, CA 91731-2684"
26,El Segundo Unified,"641 Sheldon St, El Segundo, CA 90245"
28,Glendale Unified,"223 North Jackson Street, Glendale, CA 91206"
29,Glendora Unified,"500 N. Loraine Ave., Glendora, CA 91741"
59,Pomona Unified,"800 S. GAREY AVE, POMONA, CA 91766"
62,Rowland Unified,"1830 Nogales Street
Rowland Heights, CA 91748"
63,San Gabriel Unified,"408 S Junipero Serra Dr, San Gabriel, CA 91776"
64,San Marino Unified,"1665 West Dr., San Marino, CA 91108"
66,Saugus Union,"24930 Avenue Stanford, Santa Clarita, CA 91355"
70,SBE - Celerity Himalia,"4501 Wadsworth Ave, Los Angeles, CA 90011"
71,SBE - Celerity Rolas,"1495 Colorado Blvd. Los Angeles, CA 90041-2366"
75,South Pasadena Unified," 1020 EL CENTRO ST., SOUTH PASADENA, CA 91030"
78,Temple City Unified,"9700 Las Tunas Drive, Temple City, CA 91780"
79,Torrance Unified,"2335 Plaza Del Amo
Torrance, CA 90501"
80,Valle Lindo Elementary,"1431 N. CENTRAL AVE., SOUTH EL MONTE, CA 91733"
82,West Covina Unified,"1717 W. Merced Avenue West Covina, CA 91790"
86,William S. Hart Union High,"21380 Centre Pointe Parkway
Santa Clarita, CA 91350"
88,Wiseburn Unified,"201 N Douglas St, El Segundo, CA 90245"